  PID  PPID USER         STIME NAME                       
  629     2 root         20:55:41 [irq/109-arm-smm]
  630     2 root         20:55:41 [cam-cpas]
  631     2 root         20:55:41 [qcom,cam_virtua]
  632     2 root         20:55:41 [qcom,cam-cpas-c]
  633     2 root         20:55:41 [qcom,cam-cpas-c]
  634     2 root         20:55:41 [qcom,cam-cpas-c]
  635     2 root         20:55:41 [qcom,cam-cpas-c]
  636     2 root         20:55:41 [qcom,cam-ife-cd]
  637     2 root         20:55:41 [qcom,cam-ife-cd]
  638     2 root         20:55:41 [qcom,cam-ife-cd]
  639     2 root         20:55:41 [qcom,cam-ife-cd]
  640     2 root         20:55:41 [qcom,cam-ife-cd]
  641     2 root         20:55:41 [qcom,cam-ife-cd]
  642     2 root         20:55:41 [qcom,cam-ife-cd]
  643     2 root         20:55:41 [qcom,cam-ife-cd]
  644     2 root         20:55:41 [qcom,cam-ife-cd]
  645     2 root         20:55:41 [qcom,cam-ife-cd]
  646     2 root         20:55:41 [qcom,cam-ife-cd]
  647     2 root         20:55:41 [qcom,cam-ife-cd]
  648     2 root         20:55:41 [cam_cci_wq]
  649     2 root         20:55:41 [cam_cci_wq]
  650     2 root         20:55:41 [cam_cci_wq]
  651     2 root         20:55:41 [cam_cci_wq]
  652     2 root         20:55:42 [kworker/2:2-events]
  657     2 root         20:55:46 [ipa_interrupt_w]
  658     2 root         20:55:46 [ipawq36]
  659     2 root         20:55:46 [iparepwq36]
  660     2 root         20:55:46 [ipawq33]
  661     2 root         20:55:46 [iparepwq33]
  662     2 root         20:55:46 [ipafreepagewq33]
  663     2 root         20:55:46 [ipawq32]
  664     2 root         20:55:46 [iparepwq32]
  665     2 root         20:55:46 [ipa_uc_holb_wq]
  666     2 root         20:55:46 [clnt_req]
  668     2 root         20:55:46 [irq/342-fts]
  669     2 root         20:55:46 [kworker/6:2-sock_diag_events]
  671     1 prng_seeder  20:55:46 prng_seeder
  686     1 logd         20:55:47 logd
  687     1 lmkd         20:55:47 lmkd
  688     1 system       20:55:47 servicemanager
  689     1 system       20:55:47 hwservicemanager
  690     1 system       20:55:47 vndservicemanager
  691     2 root         20:55:47 [psimon]
  700     1 system       20:55:47 android.hardware.keymaster@4.1-service-qti
  701     1 system       20:55:47 qseecomd
  702     1 system       20:55:47 vendor.qti.hardware.qseecom@1.0-service
  703     1 root         20:55:47 vold
  709     2 root         20:55:47 [jbd2/sda21-8]
  710     2 root         20:55:47 [ext4-rsv-conver]
  714     2 root         20:55:47 [jbd2/sde10-8]
  715     2 root         20:55:47 [ext4-rsv-conver]
  721     2 root         20:55:47 [kdmflush]
  728     1 system       20:55:47 android.system.suspend-service
  729     1 keystore     20:55:47 keystore2
  730     1 system       20:55:47 android.hardware.atrace@1.0-service
  731     1 root         20:55:47 android.hardware.boot-service.qti
  732     1 system       20:55:47 android.hardware.gatekeeper@1.0-service-qti
  736     1 nfc          20:55:47 android.hardware.nfc-service.nxp
  737     1 system       20:55:47 sscrpcd
  752     2 root         20:55:48 [f2fs_flush-253:]
  753     2 root         20:55:48 [f2fs_discard-25]
  754     2 root         20:55:48 [f2fs_gc-253:41]
  755     1 root         20:55:48 android.hardware.power-service.lineage-libperfmgr
  756     1 system       20:55:48 keymasterd
  767     1 tombstoned   20:55:48 tombstoned
  823     2 root         20:55:48 [loop4]
  834     2 root         20:55:48 [loop5]
  845     2 root         20:55:48 [loop6]
  850     2 root         20:55:48 [loop7]
  851     2 root         20:55:48 [loop8]
  852     2 root         20:55:48 [loop9]
